Cliente,TiempoLLave,TiempoActualizacion
Cliente1,873,213
Cliente1,864,215
Cliente1,841,215
Cliente1,853,222
Cliente1,844,227
Cliente1,850,255
Cliente1,859,256
Cliente1,847,256
Cliente1,14,239
Cliente1,12,253
Cliente1,17,219
Cliente1,16,214
Cliente1,13,210
Cliente1,13,260
Cliente1,13,208
Cliente1,20,216
Cliente1,6,225
Cliente1,13,210
Cliente1,13,250
Cliente1,12,237
Cliente1,12,217
Cliente1,16,247
Cliente1,13,212
Cliente1,13,202
Cliente1,6,240
Cliente1,13,264
Cliente1,13,259
Cliente1,13,231
Cliente1,12,206
Cliente1,12,230
Cliente1,35,206
Cliente1,41,206
Cliente1,11,289
Cliente1,10,258
Cliente1,11,217
Cliente1,10,263
Cliente1,8,278
Cliente1,7,307
Cliente1,7,297
Cliente1,6,214
Cliente1,12,206
Cliente1,12,239
Cliente1,22,209
Cliente1,8,296
Cliente1,9,297
Cliente1,7,265
Cliente1,8,209
Cliente1,7,210
Cliente1,14,220
Cliente9,7,297
Cliente8,7,224
Cliente1,8,212
Cliente1,5,210
Cliente9,6,205
Cliente9,6,213
Cliente9,14,299
Cliente9,12,204
Cliente9,14,214
Cliente9,12,213
Cliente9,7,211
Cliente9,5,214
Cliente9,6,209
Cliente9,5,213
Cliente9,12,212
Cliente9,7,208
Cliente10,13,266
Cliente9,14,246
Cliente9,14,243
Cliente9,16,207
Cliente9,14,216
Cliente12,10,217
Cliente15,11,219
Cliente16,11,219
Cliente15,13,211
Cliente17,12,206
Cliente16,14,210
